MESSAGE_A,MOVED_AD_Y,flyerSuccess,flyerFail,moveNoFlyer
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,1,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,1,0
